key,val,randnu
3292,lio,5890076
27599,ban,17708642
55261,bal,57173794
97967,mic,22748541
74458,mic,38570146
51058,cat,45531260
71955,mic,2205469
75959,dog,76683458
43987,bal,71949476
15222,cat,14656111
80864,ban,35235998
16739,mic,45314764
63291,bal,77751592
29978,cat,45584288
11671,pea,67509245
17528,cat,8908210
24713,dog,73396530
93728,lio,19748388
84093,lio,66584527
40867,app,45487552
46758,app,34063676
42833,pea,47920593
13691,pea,816471
91881,dog,36146382
34447,pea,43759699
13994,mic,15808366
47796,ban,67695325
51183,hor,25972299
61357,ban,6706462
72139,dog,69109916
23037,ban,7707843
76795,cat,56271775
35106,pea,26283692
42903,bal,55813695
85543,app,8183528
18430,pea,24563685
34303,lio,72126051
52614,ban,20765946
32091,cat,11386453
50075,app,65017222
44190,dog,20573045
77023,lio,25650103
42945,bal,27479635
67452,dog,29196722
66115,app,7039714
1946,lio,32142870
50172,dog,47148346
99344,app,25242172
52406,mic,58902200
4992,bal,50187328
50956,bal,2215429
53614,pea,11960258
60551,cat,47703769
86093,lio,13221010
81915,hor,75899966
98222,dog,55362342
94630,lio,35363500
40737,cat,69710690
32661,mic,46510144
66810,lio,22086570
81589,lio,22951317
11899,bal,4097501
63236,pea,74670476
89832,hor,48893916
66209,mic,5595867
88346,ban,30085945
30261,hor,21689820
41734,mic,29217708
10945,hor,21538964
33188,cat,49716827
37985,bal,37727051
31583,hor,63759729
52579,cat,65164803
87550,lio,18546818
79000,bal,36592687
32525,mic,48612482
7467,cat,72420743
65558,pea,39286865
12321,hor,76414375
5816,pea,34124153
62689,lio,39577586
23214,app,37622818
76008,pea,20472414
95359,bal,3543715
34489,pea,69379
18787,lio,40661971
96161,lio,33317958
51771,hor,50255220
87667,pea,76350425
73340,bal,15712306
64575,lio,30145522
27935,lio,58001505
58686,ban,18488178
62752,hor,38181421
15598,mic,55958927
55632,mic,44352577
27332,bal,36435849
9896,pea,37318950
86869,pea,66181132
59857,ban,21178663
78422,cat,6917631
45364,bal,38152960
94214,mic,2964402
37974,hor,71449959
39158,lio,5828288
27263,bal,2855003
10130,dog,70810177
15705,cat,12588119
45845,pea,6948988
17614,pea,61027638
35241,app,6264086
25383,dog,54719929
20915,hor,12796534
57174,cat,49123362
65598,mic,37067631
77012,pea,70235713
21926,lio,36302669
18308,pea,63272757
91375,lio,21202350
81787,app,3359368
73750,pea,74117301
72305,ban,50604602
57826,hor,52350574
1592,lio,4699828
84500,pea,62487964
1028,dog,58030033
36090,app,55047253
7278,bal,11891390
25858,hor,20246602
67992,ban,2472216
96063,pea,34138398
70886,pea,75663427
91852,bal,50739164
92883,bal,37511052
23881,mic,27922527
92523,lio,55454436
92454,lio,2436166
70703,cat,3736825
73805,pea,76204154
309,hor,23306918
1172,dog,14589909
86892,app,67900245
28772,app,74904543
75060,lio,36358434
8793,app,42689304
98707,pea,51681595
42932,hor,16403139
99425,dog,72001429
30733,mic,69786106
53494,lio,33136007
61917,bal,57881721
98740,ban,53713892
65398,cat,17788839
13693,app,13548323
1759,hor,32158143
78753,mic,35399315
37616,pea,32478890
99669,cat,17351040
61269,bal,27046930
31318,app,7116600
61936,mic,58761674
97684,mic,61603025
98631,hor,76334808
41164,hor,30795609
55898,bal,56592782
44034,dog,15869248
53426,ban,29719674
94944,app,23389519
80502,bal,48104422
97142,lio,37093072
69960,lio,28404763
36339,dog,33811540
64849,mic,69652466
28622,lio,14603360
22941,app,28003146
75090,hor,3437508
37178,cat,47250949
39666,cat,71242720
69283,app,1935981
28780,hor,54796404
85360,cat,31099658
85573,mic,11864201
18691,pea,43206690
29657,cat,57537487
61563,cat,51065777
21981,lio,7504839
51176,mic,27317934
65823,app,70138194
44598,ban,3755931
23453,ban,63229466
49795,lio,24205925
21536,bal,62397583
93081,cat,56271163
8453,ban,61684251
41651,hor,7631970
76269,ban,10360603
48910,pea,19085027
66597,cat,72605224
19080,app,25918012
56980,lio,47354165
10236,hor,46303820
57091,bal,4386048
34024,bal,61226257
84449,hor,59743991
67047,cat,71439296
40214,ban,41208164
31132,hor,6325696
90604,lio,6371305
32932,pea,24232682
94549,app,69573108
23676,lio,47944472
43176,dog,74032679
66442,pea,10348473
41647,hor,72008468
86967,cat,24954453
46351,dog,62183251
36644,ban,66028683
1654,app,60888649
75020,app,54807414
82707,cat,68657352
12131,hor,26747734
93609,pea,22971095
36155,ban,39943904
73576,pea,53890426
63489,mic,35790717
99306,app,34485694
47749,hor,23690910
21944,hor,47625827
40384,mic,20964849
85014,dog,67756145
41896,dog,70809667
77639,mic,57681406
26286,ban,74529456
27764,bal,4038135
50515,dog,73087691
64084,bal,33102219
82685,dog,50443548
61164,mic,65255623
2681,hor,63757739
63570,mic,42717331
17542,mic,19058066
50014,hor,51646488
27137,bal,40659316
33028,pea,40048535
33007,dog,1694558
8606,cat,7089978
44161,pea,36687098
48040,cat,42879571
72279,lio,29453801
12688,pea,49073774
52426,dog,53902271
448,ban,61320849
88008,mic,28372317
13543,cat,16581603
59226,ban,5924413
34775,pea,5758138
57882,hor,20463090
3761,bal,15655527
53477,mic,6614117
33578,app,12506543
30976,pea,71374578
24645,bal,17528641
56769,mic,54459762
33654,pea,29821356
74002,lio,29627477
85514,pea,71835668
21750,lio,50359023
18522,mic,35053146
19063,lio,37968379
2830,app,38425073
40288,cat,30413138
3589,cat,61774557
77444,lio,30770790
42987,dog,45276375
72274,ban,39653003
60843,mic,76617989
85496,pea,5358318
63212,app,50958333
75094,bal,11546741
87366,lio,29329612
77962,app,5794083
47245,dog,68052720
88977,ban,28038959
20178,lio,69564263
67150,dog,52732754
27932,hor,17348395
46392,dog,77963695
10658,dog,25716271
30388,cat,17791327
85053,app,6871055
27067,dog,10254130
72326,app,7031755
51001,cat,70520121
16441,cat,29817487
65812,app,44406600
95864,cat,57610509
45403,cat,12184023
68804,pea,16486192
60338,ban,19046176
28599,cat,12305354
23530,pea,43466684
89407,cat,31672635
98867,ban,44697721
29568,app,26613857
66344,ban,45822724
63082,app,23201208
46838,dog,32706460
75017,cat,41155545
95039,ban,32366391
21083,lio,57124046
67521,mic,49663717
98454,ban,6848693
2101,cat,33361617
15374,lio,1536605
20529,lio,46882784
63772,bal,73542440
15101,app,25328023
23319,bal,71409741
70025,pea,40524731
72876,pea,61819705
63430,dog,10931000
32704,dog,5454089
38621,app,24617792
28756,ban,14694895
93932,app,64672616
63310,mic,3890833
90432,ban,43638310
2302,hor,62147421
10603,cat,75938873
97184,bal,40547522
71215,cat,59937487
31674,bal,30251391
72901,lio,2772635
78850,bal,8274148
60526,lio,47248446
54541,mic,51791984
22660,hor,56844821
97865,hor,45235000
84577,dog,64941809
22009,bal,27599825
35985,pea,9296411
20939,app,15050589
39327,lio,14938547
17629,ban,54142345
26409,dog,2509569
35399,hor,40307634
36396,mic,8515875
75312,pea,36924314
62504,dog,35684391
49160,lio,9749936
41489,bal,19564904
1991,mic,22072310
72751,app,25958704
45883,cat,62478326
80103,bal,5390803
16015,hor,16845558
29683,ban,41218030
86563,lio,61096845
34637,app,10039297
7431,mic,6038572
18591,lio,66859268
54553,app,9349838
91687,mic,23037481
85010,dog,20454861
82596,dog,75328186
80339,mic,44563597
3589,mic,36375246
93610,app,19788576
60466,hor,7141209
62488,ban,45050601
28176,cat,20246255
25261,dog,28457889
48385,ban,17238501
37805,app,76526348
50478,bal,16695831
8911,dog,69545953
29935,cat,55533555
60725,lio,34204241
63115,dog,17147944
47829,hor,77718996
51543,mic,34528785
22391,app,27675932
46423,lio,58683659
50539,lio,67305353
65219,bal,39612518
87750,mic,55864821
97436,app,5377397
97578,ban,57308302
3030,pea,64837310
54451,ban,49187056
70229,bal,62468691
47683,cat,32888037
80722,bal,56906795
1630,lio,23865293
89772,app,73417433
68194,lio,14781443
39551,cat,37644867
99204,mic,33488104
35902,hor,66331702
26337,lio,39115294
7560,pea,32067768
93345,lio,70099485
87778,pea,57341213
68363,cat,61525610
50829,mic,65659726
42333,lio,68580082
14922,cat,35187540
20854,pea,19010059
19745,mic,69299384
51906,bal,49577768
59706,lio,73066244
98597,lio,17831993
76212,pea,34344134
46165,hor,66294335
37249,pea,54197540
62641,bal,475940
38276,lio,59413311
97228,app,66115347
18382,app,26076797
39136,cat,74165388
22160,mic,29030598
82810,cat,6091137
886,app,5365591
28983,dog,22385427
20706,cat,33532530
7365,hor,28725667
41105,ban,2563317
79629,app,41876503
44816,hor,60887563
24657,pea,74261249
97015,bal,74087557
5900,cat,56503120
14908,hor,20588330
55577,app,47481724
50406,app,13142009
88099,app,73097236
16371,ban,44949611
56680,cat,11822211
42842,pea,15259759
51605,pea,51359469
62924,dog,17626553
60252,pea,34449067
40879,hor,24794725
34424,lio,22234195
35798,mic,54836480
35620,hor,30342454
19327,mic,36740324
23697,dog,67344945
30014,cat,40978541
32785,pea,37751988
18068,mic,37287924
30016,pea,51218777
34573,cat,38026188
99215,cat,46697042
49120,bal,42387010
80238,pea,71073664
9913,ban,21681856
82174,ban,23794478
67190,hor,38412347
13432,hor,33406221
57328,app,2998916
50550,ban,16894239
85155,hor,56735416
68680,mic,35259172
19908,app,56838338
87243,hor,54084710
86490,ban,7355779
20456,pea,29499464
63175,bal,2211829
82388,mic,16653870
11202,lio,14119902
31885,dog,18868861
6001,dog,38962075
93059,cat,40449613
91425,app,23367786
95333,cat,43428586
45431,cat,8906628
48512,app,64710950
447,cat,19677023
99477,bal,22782411
78285,app,61685421
1032,dog,1169069
94592,bal,59701681
57209,ban,71157742
62022,bal,7769102
68473,app,61900746
86256,app,59987412
47641,hor,45211509
64858,hor,59022756
67328,cat,33864462
38993,lio,69978860
49975,hor,7660025
37276,cat,12077388
80189,dog,27831163
43316,ban,25317717
20812,lio,3025738
93443,mic,63441722
27295,mic,32124410
80335,mic,55660134
20405,bal,51306394
29459,cat,16770692
25167,mic,55332346
48180,app,77001827
81699,dog,24665345
47050,hor,14105658
10929,cat,33725151
44721,pea,7778481
75350,app,48464888
90603,cat,15407284
64736,mic,60949267
25041,bal,6869498
96203,mic,12190004
89299,mic,5704538
56305,app,34002598
63585,ban,21617186
74116,dog,52945881
30048,bal,51820716
8019,bal,54529617
65459,lio,14063876
85344,mic,28685986
54581,mic,70585307
52648,ban,72191696
3961,pea,20314125
60940,ban,43657630
55222,bal,32934593
54039,mic,15115946
38317,bal,69908444
73282,lio,45150272
1857,lio,62469242
94229,lio,73789002
64771,bal,27447523
94035,mic,62556791
27398,cat,321590
1909,hor,76226025
2251,dog,14948533
98273,ban,33967866
98147,ban,71129129
20210,app,32374800
74640,hor,70579777
44436,dog,46421441
93842,mic,14609269
32356,mic,2102764
63346,mic,31435212
81069,bal,72369810
52522,cat,26124119
43863,ban,6485525
5026,app,33312821
20530,dog,30562127
51849,hor,55576822
55511,mic,6347451
5402,app,59553794
71588,ban,71362384
63256,mic,58352622
48466,hor,64168635
90225,lio,44062682
65755,cat,32713685
47589,mic,9027381
19103,cat,6012259
14568,bal,61630419
76655,ban,24358119
65621,ban,53953697
1709,dog,19962851
1546,mic,68611914
28104,pea,35020929
98385,hor,22554162
30789,dog,76937836
78437,cat,40532928
83576,hor,59375147
60808,ban,44290725
50134,mic,56121950
13550,hor,67395038
33328,lio,5013192
51583,pea,59918186
57841,lio,7066490
13587,dog,34804500
54543,lio,52874101
59389,dog,11062286
31216,cat,26557550
10022,mic,28843669
73925,app,29477080
93422,hor,29511897
93793,app,47555313
158,pea,2695887
30972,ban,3007521
59422,ban,76079057
1022,hor,44458141
53026,app,75829446
47639,pea,4873243
57794,app,27160559
41509,mic,74344440
69466,cat,47151512
85118,pea,10156262
78171,bal,14630443
83287,bal,10484889
90073,ban,43826479
80763,mic,61425122
6445,app,77284040
93431,cat,38064378
73986,lio,21700378
87556,pea,15972240
37709,mic,65166817
4217,ban,74034705
61009,cat,54924791
43623,pea,29535406
36060,dog,9078713
66164,bal,72221625
37062,mic,37563993
4249,mic,19562426
38335,ban,39693512
76839,pea,64861793
19038,pea,71019743
41151,cat,59420586
87516,pea,11303446
66053,ban,37579229
13573,bal,73825668
73657,cat,19696237
54340,dog,67179469
97618,cat,55028235
6862,ban,19453333
61888,ban,24763256
93605,hor,7526187
33872,lio,10787109
27230,hor,1488911
79206,bal,27330978
89808,dog,14519554
23570,dog,46522328
74112,lio,12568355
58034,pea,855989
83898,hor,42630278
565,pea,43234360
25723,app,56509306
72937,mic,56535324
84537,cat,8133654
74245,app,75604153
82305,lio,10744362
19721,app,52225316
40252,hor,70286313
7125,lio,71955168
40615,cat,33628296
3350,cat,17514619
49954,pea,58823449
65186,dog,42735350
37630,lio,8575952
73928,cat,33589764
822,mic,22911836
38457,ban,50881525
10828,dog,62518686
31460,dog,73593459
32785,mic,61793419
64984,pea,42378803
31387,pea,72305025
24557,dog,26326183
72042,dog,33855045
17834,pea,76478945
89830,app,14394386
52047,ban,37832456
30007,bal,54613081
1405,pea,65732977
72803,hor,42704443
82349,dog,70623378
85594,app,49301184
3065,ban,41842282
97001,pea,69740068
96110,lio,42267860
66110,lio,39939069
23043,cat,48645326
14853,cat,11266801
20374,ban,70831036
69247,cat,26888798
42148,app,33615140
48967,dog,68110123
23587,dog,48944851
69526,dog,8186014
7363,mic,20536170
27394,lio,49408188
12753,hor,13409243
11168,ban,67405224
47482,ban,17447651
53066,pea,6468344
56891,ban,34167803
15061,lio,35692386
7757,app,62263904
41357,hor,65414295
61364,bal,9843369
53629,cat,46285281
30671,hor,12837762
791,ban,62879522
5290,bal,65597235
52671,mic,26755964
12249,lio,37579368
83351,bal,77507837
93900,mic,48978140
96585,app,12197742
56409,hor,45624670
57005,app,15706376
89364,lio,35307951
42609,ban,18393650
78022,bal,24195674
70565,ban,4289316
82165,hor,71674532
66071,hor,53241193
88219,hor,14926486
2344,mic,46290917
61777,bal,67822697
38836,ban,58933825
2882,dog,43491886
3089,app,19340515
5268,pea,75637850
34216,pea,70697882
95214,cat,46803467
89353,lio,10920151
98827,pea,40955679
65831,pea,76088316
75290,ban,72845909
18453,dog,15385259
42356,lio,65752765
87741,ban,5814799
16138,bal,63436678
92075,mic,37993695
69919,lio,16408301
21978,hor,29193805
29052,app,26911777
23791,cat,14368667
53639,cat,23619127
1128,bal,35959164
94998,pea,28684714
59622,pea,42098508
94123,lio,44866267
76764,mic,59347091
61771,cat,75051663
51211,ban,5200018
37044,cat,77785428
40513,dog,59796613
15127,lio,31629696
65587,pea,16731287
1691,pea,42629932
99380,cat,42289212
2551,hor,4684676
75011,cat,22402859
95544,lio,61811095
83982,dog,16867851
95298,mic,56955028
67547,lio,881496
79376,cat,71661386
37167,mic,56920080
31292,hor,45773844
15698,ban,5291440
3013,mic,76451836
94552,dog,20857514
51732,ban,27373280
4243,ban,227867
65001,pea,46513476
3514,ban,61438763
90359,bal,44629104
67436,pea,76996780
4632,mic,13992729
51992,ban,61828531
95207,ban,46574887
99964,pea,4770241
15135,ban,48025411
62042,dog,35641646
47441,lio,13614782
56357,lio,16663175
35207,hor,35599174
73792,lio,46735679
7676,hor,65115047
12581,app,63424620
38605,dog,34733851
16621,mic,64936394
34910,lio,63337258
87952,cat,48946719
35239,app,77923338
75881,hor,50145973
34346,cat,2678918
6355,dog,15079581
87740,mic,56527075
28388,hor,51618648
27297,dog,39630556
40221,app,69652836
45981,hor,33680787
25848,app,45918610
28592,bal,74359120
34816,mic,66141565
9912,hor,21134053
43741,app,55190125
41708,lio,17315209
64656,app,261295
50328,pea,44073965
97880,app,54118038
40375,lio,8258204
76669,lio,24080926
9237,bal,22740490
51693,cat,22525971
29436,dog,54537572
1777,mic,75536576
66061,mic,1764145
21168,hor,65042363
27955,pea,61277247
57627,app,50676572
49902,dog,4294572
35857,hor,70512703
68578,bal,69804798
70761,ban,43158335
20788,dog,64300831
15323,hor,58030409
44882,cat,24775502
68278,bal,50398715
84792,hor,4360864
32671,lio,32644749
62272,lio,50762834
4038,dog,10866586
4990,dog,59633960
27941,hor,3753446
85187,lio,33082429
44980,bal,62914072
29872,ban,39192416
71053,lio,36481400
97391,lio,43447843
42713,bal,69821227
88425,lio,36295849
69641,mic,65303972
20036,app,2316183
35165,app,48736584
89918,mic,73486205
24021,cat,14711723
85977,mic,13038355
90766,cat,5984333
11863,mic,37033373
74829,ban,36618078
20263,cat,35632778
2681,cat,66759558
59186,mic,15414882
1750,ban,77658596
94813,bal,249728
42130,app,38393487
44867,hor,32573707
20412,ban,29660612
74525,bal,7224208
52094,ban,31973934
85716,bal,10279279
56017,app,12685301
24820,app,9136614
77568,dog,56914336
65,dog,1103569
24768,mic,28794322
73597,cat,56828295
40504,cat,56406053
79643,bal,39043500
15896,dog,51518775
31424,app,41024989
77233,app,1758144
68281,bal,71385444
80790,bal,7041456
83860,dog,52040952
98639,pea,37464047
47053,cat,77417796
59640,mic,37606501
47984,hor,38949298
89401,ban,51428860
59414,lio,21506228
38499,bal,58842922
49152,bal,16236391
463,bal,61843360
39927,mic,76740804
47979,mic,39849207
54839,mic,13351709
84061,ban,45325732
64689,lio,55192795
52660,mic,55026016
90908,ban,7745103
93223,mic,69658456
72521,app,6370581
72727,dog,61405542
53224,mic,3524097
87570,ban,31967965
32305,mic,52773976
57371,pea,6740845
20790,cat,12570468
33983,hor,23720888
286,cat,14747989
25126,app,75144634
80023,mic,41860844
34513,mic,19130891
20928,dog,69015459
71113,ban,16466872
51462,app,59483741
15768,dog,50511788
97389,app,40866754
24871,mic,1874226
29460,mic,49231932
34862,app,65784038
56484,cat,31126209
64660,app,27592177
9529,hor,65498450
54667,cat,46496998
93560,ban,58524759
66380,cat,45424805
45908,cat,52070634
10019,lio,24135713
63777,hor,56382151
31204,ban,49372998
15469,mic,45649622
35709,lio,47443573
54455,pea,44117099
86921,bal,16699234
13596,bal,38393675
69179,mic,75835383
80922,cat,30932647
39606,ban,39193759
17528,ban,43343629
95248,pea,24012608
61591,hor,14803121
85242,mic,65584504
26939,pea,15844324
89690,pea,57782961
99972,lio,4285811
60217,app,42935997
60064,pea,2229076
26728,dog,53458722
93466,bal,41678518
32434,hor,38919315
41976,mic,4604680
67152,mic,51845096
46606,lio,52633350
96212,dog,59550441
60470,app,53419582
7348,ban,5743935
52869,ban,13726865
72709,lio,58292302
30219,lio,46042438
82206,ban,63081674
9332,ban,16651719
14439,app,29394437
52965,lio,15904265
28839,pea,73351473
80456,dog,68048755
29070,dog,39299822
60953,dog,73800270
63682,lio,58766975
45114,dog,70479556
26059,dog,17450987
91172,cat,76545324
33340,cat,61568596
78238,app,490357
46447,hor,43295413
42539,cat,29370297
26703,pea,21660032
32215,ban,31856408
62047,dog,75824474
50796,pea,15168419
861,cat,72536463
83392,bal,6106389
17082,pea,4860129
83738,hor,59259769
90277,cat,72331200
34578,ban,36902109
12584,dog,62133526
23735,hor,17624958
33800,dog,49859266
33824,dog,17078886
52448,cat,60976587
67492,cat,51657559
92235,mic,28286592
18335,lio,46550242
30682,cat,15986749
82297,hor,47359441
6331,mic,57475666
66991,hor,73582851
23386,dog,62948402
98757,mic,70700150
38775,pea,37898912
95802,hor,26106910
69660,bal,57589572
68236,dog,40809516
58973,hor,31126129
2733,mic,78027903
38499,cat,47288344
64211,lio,12810221
28691,pea,22148543
71056,mic,25032874
52025,pea,76648053
93356,bal,6708122
27305,hor,49157911
48867,ban,17607390
85180,pea,3908610
16826,lio,32495763
45984,lio,70863948
69848,dog,70641570
53165,ban,70622806
60082,bal,74629329
54881,lio,6370864
44757,ban,71395461
77348,cat,34013368
2922,dog,10123837
88693,lio,25423177
68518,pea,16855537
49681,hor,66998435
29119,dog,62001221
96830,bal,5423720
15335,cat,37310892
61431,ban,73770710
9916,cat,52406384
27068,pea,10555810
89823,pea,55688905
79470,mic,51434954
47006,hor,42661785
99263,ban,13842047
35400,cat,62050337
69092,mic,28293768
21915,mic,7011883
70884,bal,54529505
58993,mic,49800803
97847,app,59086410
84470,ban,42836040
19452,bal,45017048
87983,lio,66468636
64322,cat,2189359
28947,dog,11410281
69331,lio,71392500
11237,app,38836311
57413,lio,17767086
282,lio,70521585
13140,hor,13464060
18297,cat,71261395
38595,hor,51750617
41839,mic,26062886
3889,app,2560535
87554,bal,506453
11441,app,2028900
4500,lio,22075866
9271,cat,59771151
94237,lio,30737116
63641,ban,52080683
89122,ban,4150118
88076,pea,42938352
71001,bal,52583068
17138,bal,77229525
45648,ban,3200821
24265,dog,32897439
74952,ban,18476026
7362,ban,27254748
84,bal,46921058
80666,cat,53839615
25422,bal,50150785
67883,bal,14435324
34042,cat,21251834
15634,dog,31125924
14082,ban,17277250
86791,lio,8369686
7303,hor,3006128
29191,mic,9423522
68199,ban,11091873
20724,mic,64837272
93680,pea,13039576
37256,hor,53245832
62981,mic,23981714
64453,ban,58975377
8388,hor,36140619
29803,mic,50374069
28882,lio,5009233
63703,app,40692373
76464,mic,58952006
90848,app,53195921
15356,pea,21330845
88777,mic,75316534
66377,bal,51880779
6387,pea,75097783
22966,lio,31257045
53725,lio,72021101
25259,lio,63190210
86732,lio,16619831
43608,mic,2966114
34135,cat,67640418
58091,dog,50631911
31331,lio,71227657
3330,lio,62584361
48517,dog,74414171
21111,dog,72617433
23849,cat,28149137
75532,cat,8704887
92635,pea,29233774
59717,ban,55470314
29717,ban,71247269
76986,mic,50448197
94074,lio,65243954
23345,pea,74433576
10709,bal,47727818
91497,app,19672922
64587,dog,14241151
52668,ban,43173743
81411,ban,45408002
63071,hor,46669589
14921,mic,57603210
75899,pea,75250688
88839,cat,34180870
449,ban,72272510
60668,app,15015728
44518,hor,70403085
97806,hor,36148949
58490,lio,51023847
10623,mic,6225218
54469,ban,66448536
67772,bal,31962041
98192,bal,11281537
76040,lio,11330744
63171,ban,36236298
23653,lio,4884517
59455,cat,21439386
79320,cat,57920782
77094,cat,66221946
9372,bal,62267515
65948,lio,53264276
99734,pea,7344467
77338,lio,55951454
41557,cat,49796553
12207,ban,11774839
75336,dog,26480248
55124,bal,19004190
74502,dog,57535429
71630,bal,5055183
90561,lio,3683569
79225,app,11248116
41582,dog,3302069
1555,hor,73024196
65800,mic,31140772
57718,mic,67154660
77643,lio,61754817
21335,ban,16333906
92835,cat,49393167
97393,cat,43763056
55763,pea,73143901
47191,cat,47174063
45707,hor,10513005
85954,cat,58918848
56261,bal,31926538
70941,cat,73374399
8609,bal,56123543
83878,lio,71748978
55723,pea,25604370
7686,pea,76197279
10510,pea,30830851
94842,app,71838958
44981,ban,30220512
74224,dog,53942087
91039,app,25730583
41102,dog,57334203
65107,bal,31182679
89689,lio,68841375
69350,lio,15767031
38133,app,56563233
29407,app,77761898
65850,lio,9537662
3371,mic,63392518
37672,cat,65242234
57122,cat,63703570
23501,hor,11717579
48744,cat,68890919
97844,hor,48457770
55529,ban,14772636
16592,hor,19985051
60439,hor,45385104
59054,mic,18505249
2504,hor,36304013
67449,hor,732389
28599,app,48494578
7570,dog,70025575
30833,app,8032793
63913,pea,41477040
67464,bal,72549348
81951,lio,74578207
22331,bal,9616426
17194,mic,18025347
68118,hor,57420399
67998,lio,58118832
49676,mic,57011798
47121,ban,3378974
80814,lio,73362261
9492,app,76947563
52829,app,59211363
35525,cat,18622740
63950,ban,5728676
91107,hor,17641867
32889,ban,74383592
76148,lio,11737462
59207,hor,8941500
95056,hor,32084455
61720,hor,55897836
43686,mic,69617171
10338,mic,69794610
36115,app,12103372
5596,bal,26607239
95490,hor,50097781
16411,ban,52927388
7211,cat,39185832
56343,pea,24633264
66432,app,36906543
5826,mic,21325362
62970,cat,67485209
35986,ban,44653891
85515,bal,6365998
44729,cat,45664765
63570,ban,49775770
95579,dog,51361170
90878,app,32707558
72284,dog,33246892
36884,bal,73221951
73743,cat,43393199
83351,ban,77474126
26465,mic,60264112
20118,pea,61939808
20341,app,32740925
93099,pea,74188584
34698,bal,53687045
60900,lio,1455373
69778,mic,62274636
38721,lio,48610704
28483,cat,17349616
11638,app,57146648
67486,app,27900921
10641,mic,22761997
82361,hor,7725317
24297,ban,48368461
99442,dog,18382388
74997,app,75352804
17119,cat,26106184
37746,pea,50105083
77612,pea,59938670
86150,pea,62267071
31097,lio,76350381
28162,pea,59790561
25298,lio,51990832
84470,app,11925614
93853,lio,8769773
55960,ban,59277424
65292,pea,55690654
21618,lio,66379575
74865,app,6440635
66556,lio,7463175
65221,mic,19630391
15741,dog,34855445
